[2025-04-02 03:03:02.207865] Début de l'analyse du fichier qojita.xlsx
[2025-04-02 03:29:57.575193] Traitement de 0800897246464 (Marque: NYX) - 245/1200...
[2025-04-02 03:29:59.774505] Traitement de 0800897246471 (Marque: NYX) - 246/1200...
[2025-04-02 03:30:07.793299] Traitement de 0800897246501 (Marque: NYX) - 247/1200...
[2025-04-02 03:30:16.819257] Traitement de 0800897247829 (Marque: NYX) - 248/1200...
[2025-04-02 03:30:19.246285] Traitement de 0800897249205 (Marque: NYX) - 249/1200...
[2025-04-02 03:30:27.123155] Traitement de 0800897249236 (Marque: NYX) - 250/1200...
[2025-04-02 03:30:35.623102] Traitement de 0800897249243 (Marque: NYX) - 251/1200...
[2025-04-02 03:30:37.776801] Traitement de 0800897249373 (Marque: NYX) - 252/1200...
[2025-04-02 03:30:47.964821] Traitement de 0800897249403 (Marque: NYX) - 253/1200...
[2025-04-02 03:30:57.158176] Traitement de 0800897249410 (Marque: NYX) - 254/1200...
[2025-04-02 03:30:59.525469] Traitement de 0800897249458 (Marque: NYX) - 255/1200...
[2025-04-02 03:31:10.670681] Traitement de 0800897249519 (Marque: NYX) - 256/1200...
[2025-04-02 03:31:21.535235] Traitement de 0800897249540 (Marque: NYX) - 257/1200...
[2025-04-02 03:31:23.703348] Traitement de 0800897249557 (Marque: NYX) - 258/1200...
[2025-04-02 03:31:32.596612] Traitement de 0800897249588 (Marque: NYX) - 259/1200...
[2025-04-02 03:31:44.051559] Traitement de 0800897249595 (Marque: NYX) - 260/1200...
[2025-04-02 03:31:52.910524] Traitement de 0800897249977 (Marque: NYX) - 261/1200...
[2025-04-02 03:32:01.126452] Traitement de 0800897250065 (Marque: NYX) - 262/1200...
[2025-04-02 03:32:05.070293] Traitement de 0800897250072 (Marque: NYX) - 263/1200...
[2025-04-02 03:32:15.882216] Traitement de 0800897250232 (Marque: NYX) - 264/1200...
[2025-04-02 03:32:18.076034] Traitement de 0800897250263 (Marque: NYX) - 265/1200...
[2025-04-02 03:32:30.633394] Traitement de 0800897250362 (Marque: NYX) - 266/1200...
[2025-04-02 03:32:40.036042] Traitement de 0800897250454 (Marque: NYX) - 267/1200...
[2025-04-02 03:32:49.869126] Traitement de 0800897254698 (Marque: NYX) - 268/1200...
[2025-04-02 03:32:52.012851] Traitement de 0800897254704 (Marque: NYX) - 269/1200...
[2025-04-02 03:33:00.651903] Traitement de 0800897254742 (Marque: NYX) - 270/1200...
[2025-04-02 03:33:09.492798] Traitement de 0800897255428 (Marque: NYX) - 271/1200...
[2025-04-02 03:33:11.751718] Traitement de 0800897255459 (Marque: NYX) - 272/1200...
[2025-04-02 03:33:14.014854] Traitement de 0800897255466 (Marque: NYX) - 273/1200...
[2025-04-02 03:33:16.256719] Traitement de 0800897257422 (Marque: NYX) - 274/1200...
[2025-04-02 03:33:24.867602] Traitement de 0800897257521 (Marque: NYX) - 275/1200...
[2025-04-02 03:33:33.023412] Traitement de 0800897257644 (Marque: NYX) - 276/1200...
[2025-04-02 03:33:48.460006] Traitement de 0800897261764 (Marque: NYX) - 277/1200...
[2025-04-02 03:34:02.240309] Traitement de 0800897261962 (Marque: NYX) - 278/1200...
[2025-04-02 03:34:04.865214] Traitement de 0800897262044 (Marque: NYX) - 279/1200...
[2025-04-02 03:34:07.110199] Traitement de 0800897262204 (Marque: NYX) - 280/1200...
